year,team,stage,mp,gf,ga,poss,pass_acc,shots_pg,xg,avg_age,gf_pg,ga_pg,gd_pg,xg_pg
2014,Germany,6,7,18,4,60.7,85.9,14.3,17.2,27.1,2.5714285714285716,0.5714285714285714,2.0,2.457142857142857
2014,Argentina,5,7,8,4,55.0,83.8,15.7,9.4,28.2,1.1428571428571428,0.5714285714285714,0.5714285714285714,1.342857142857143
2014,Netherlands,4,7,15,4,49.6,81.0,12.9,14.2,27.6,2.142857142857143,0.5714285714285714,1.5714285714285714,2.0285714285714285
2014,Brazil,4,7,11,14,52.9,80.9,16.0,12.4,27.3,1.5714285714285714,2.0,-0.4285714285714286,1.7714285714285716
2014,Belgium,3,5,6,3,51.3,81.5,18.8,7.2,26.1,1.2,0.6,0.6,1.44
2014,Colombia,3,5,12,4,45.8,78.1,11.6,11.4,26.4,2.4,0.8,1.5999999999999999,2.2800000000000002
2014,Costa Rica,3,5,5,2,40.3,75.6,8.0,4.8,26.8,1.0,0.4,0.6,0.96
2014,France,3,5,10,3,56.9,84.3,18.2,10.4,26.3,2.0,0.6,1.4,2.08
2014,Algeria,2,4,7,7,39.1,71.9,9.3,6.2,27.2,1.75,1.75,0.0,1.55
2014,Chile,2,4,6,4,54.3,79.2,10.3,7.4,27.1,1.5,1.0,0.5,1.85
2014,Greece,2,4,3,5,45.8,81.1,14.8,3.4,28.4,0.75,1.25,-0.5,0.85
2014,Mexico,2,4,5,3,48.8,79.8,10.3,5.8,26.8,1.25,0.75,0.5,1.45
2014,Nigeria,2,4,3,5,48.7,80.7,13.0,3.8,25.6,0.75,1.25,-0.5,0.95
2014,Switzerland,2,4,7,7,48.9,80.4,16.8,7.8,27.3,1.75,1.75,0.0,1.95
2014,Uruguay,2,4,4,6,45.9,75.0,11.5,4.8,28.1,1.0,1.5,-0.5,1.2
2014,USA,2,4,5,6,43.8,81.5,11.3,5.4,27.3,1.25,1.5,-0.25,1.35
2014,Australia,1,3,3,9,42.0,80.3,9.3,3.2,27.8,1.0,3.0,-2.0,1.0666666666666667
2014,Bosnia,1,3,4,4,54.6,84.6,16.3,4.2,27.4,1.3333333333333333,1.3333333333333333,0.0,1.4000000000000001
2014,Cameroon,1,3,1,9,42.3,77.9,14.7,1.8,27.6,0.3333333333333333,3.0,-2.6666666666666665,0.6
